Sr	Status	CR16	CR17	CR18	CR20	CR21	CR22	CR23	CR24	CR25	CR26	CR31	CR34	CR36	CR42	CZR38	CR56	CZR49	CR63	CR64	CR65	CR66	CR68	CZR56	CR72	CR73	CR82	CR83
30196	Never	1	2	1	3	3	1	3	3	3	4	1	1	4	1	3	1	3	3	3	1	2	2	2	2	1	4	1
30197	Ever	4	3	1	3	3	3	2	2	1	4	2	2	4	5	3	6	2	3	2	2	4	2	3	2	3	4	2
30198	Never	1	2	1	1	1	3	2	2	1	4	1	1	4	1	4	1	1	3	3	2	4	2	3	2	1	4	2
30199	Never	2	1	1	3	3	1	2	2	3	4	1	1	3	3	5	1	2	3	2	2	4	2	3	2	1	4	2
30200	Never	1	1	1	3	3	1	2	2	1	4	2	2	2	1	2	1	2	4	2	2	3	2	4	2	1	4	2
30201	Never	1	1	1	3	2	3	2	2	3	4	1	3	3	1	2	1	2	3	3	2	3	3	3	2	1	4	2
30202	Never	1	1	2	3	3	3	2	2	3	4	1	2	4	1	5	1	2	1	3	2	4	2	1	2	1	4	2
30203	Never	1	2	1	1	2	1	2	2	2	4	1	1	4	1	2	1	3	2	3	2	4	3	4	2	1	4	2
30204	Never	3	2	1	1	1	1	2	2	1	4	2	1	4	3	1	1	1	3	2	2	2	3	1	2	1	4	2
30205	Never	3	2	2	3	3	3	2	2	3	4	2	4	4	1	5	1	2	3	3	2	4	2	4	2	1	3	2
30206	Never	3	1	1	1	2	3	2	2	2	4	2	2	4	1	4	1	2	3	2	2	3	2	3	2	1	3	2
30207	Ever	1	3	1	1	1	1	1	2	2	4	2	3	2	1	5	6	2	3	3	2	4	2	3	2	1	3	2
30208	Ever	1	4	1	3	3	1	3	3	2	4	2	3	3	1	3	6	2	3		2	2	2	3	2	1	4	2
30209	Ever	1	2	1	3	3	3	2	2	3	4	1	3	4	1	4	6	3	3	2	2	3	2	3	2	1	3	2
30210	Never	1	1	1	3	3	3	2	2	3	4	1	3	4	4	2	1	2	3	3	2	4	3	4	2	1	3	2
30211	Never	1	2	1	3	3	1	2	3	3	4	2	1	4	1	5	1	2	3	2	2	4	3	4	2	1	3	2
30212	Never	1	1	1	3	3	1	2	3	3	4	1	1	4	1	5	1	2	3	2	2	4	3	4	2	1	2	2
30213	Never	1	2	1	3	3	3	2	2	2	4	1	2	4	1	5	1	2	3	3	1	3	2	3	2	1	3	2
30214	Never	2	1	1	3	3	2	2	2	1	4	1	1	4	4	2	1	2	4	2	2	3	2	4	2	1	3	2
30215	Never	3	1	1	3	3	3	2	2	3	4	1	1	4	1	5	1	2	2	2	2	3	3	3	2	1	3	2
30216	Never	3	1	2	2	2	2	2	2	1	4	2	1	4	1	1	1	2	3	3	2	4	3	4	2	3	2	2
30217	Ever	1	2	2	1	2	2	2	2	2	3	2	2	3	1	5	6	3	3	2	2	4	3	4	2	3	3	1
30218	Never	1	2	1	3	3	3	3	2	3	4	1	2	4	1	2	1	1	3	3	1	4	2	4	2	1	3	1
30219	Never	1	1	1	3	3	3	3	2	1	4	2	2	4	1	2	1	2	4			4	3	4	2	1	3	1
30220	Never	1	1	1	3	2	1	3	2	2	4	2	3	4	1	1	1	2	3	3	2	3	2	3	2	1	3	1
30221	Never	1	1	1	3	3	1	3	2	1	4	2	1	4	1	2	1	3	4	2	2	4	2	3	2	1	3	1
30222	Never	1	1	1	3	3	1	3	3	3	4	1	2	4	1	3	1	2	3	3	2	4	2	4	2	1	3	1
30223	Never	2	1	1	3	3	3	2	2	3	4	1	2	4	1	2	1	3	3	2	2	4	3	3	2	1	3	1
30224	Never	3	1	1	1	3	1	2	2	1	4	2	2	4	4	4	1	2	3	2	2	2	1	3	2	1	3	1
30225	Never	3	1	2	2	2	1	3	3	2	4	2	3	4	1	1	1	3	2	3	2	3	3	4	2	1	2	1
30226	Never	3	2	1	3	3	3	3	3	3	3	3	4	4	3	3	1	2	1	2	1	3	2	1	2	1	3	1
