Sr	Status	CR16	CR17	CR18	CR20	CR21	CR22	CR23	CR24	CR25	CR26	CR31	CR34	CR36	CR42	CZR38	CR56	CZR49	CR63	CR64	CR65	CR66	CR68	CZR56	CR72	CR73	CR82	CR83
30553	Current	2	1	1	3	3	3	3	3	3	3	2	2	4	5	2	3	2	3	2	1	3	3	2	2	1	6	1
30556	Current	3	4	1	3	3	1	3	3	1	4	3	3	4	1	5	6	3	3	2	2	3	2	3	2	2	4	2
30558	Current	2	3	1	3	3	1	2	2	3	3	3	2	2	1	1	6	2	2	2	2	3	2	4	2	3	4	2
30559	Current	2	3	1	3	3	3	2	2	3	4	3	2	4	5	4	6	2	3	2	1	3	2	3	1	1	3	2
30560	Current	2	3	1	1	1	1	1	1	1	4	4	1	4	1	5	6	1	1	2	2	3	3	1	2	1	4	2
30561	Current	1	3	1	3	3	2	2	2	3	4	3	2	3	1	3	5	2	2	3	2	4	3	4	2	1	4	2
30562	Current	3	3	1	3	3	2	2	2	3	4	3	3	4	3	5	4	1	3	2	2		2	3	2	1	4	2
30574	Current	3	4	1	3	3	3	3	3	2	4	3	2	4	2	4	6	3	3	3	2	4	3	4	2	1	4	2
30575	Current	2	3	1	3	3	3	3	3	2	4	3	3	4	5	5	3	3	3	2	2	4	2	4	2	1	3	2
30576	Current	1	2	2	1	2	3	2	2	2	4	2	1	3	1	2	6	1	3	2	2	3	1	3	2	3	4	2
30577	Current	3	4	1	3	3	1	3	2	2	4	3	2	4	1	4	6	2	3	2	2	2	2	3	2	3	4	2
30578	Current	1	2	1	3	3	2	3	3	1	4	3	2	4	1	1	2	2	3	2	2	4	3	3	2	1	4	2
30589	Current	2	4	1	3	3	1	3	3	3	4	3	2	2	5	2	6	1	4	2	2	3	3	3	2	2	6	1
30591	Current	2	3	1	1	2	1	3	3	3	3	3	2	2	5	5	4	2	3	2	2	2	2	3	2	1	5	1
30592	Current	1	3	1	3	3	2	3	3	3	3	3	2	2	1	5	4	1	3	2	2	4	2	2	2	3	6	1
30596	Current	2	3	2	3	3	3	3	3	2	3	3	2	3	2	3			3	2	2	3	2	4	2	1	5	2
30597	Current	2	3	1	3	3	3	3	3	2	4	2	3	4	1	4	6	3	3	2	2	3	3	3	2	1	5	2
30607	Current	2	4	1	3	3	3	3	3	3	3	3	3	3	5	5	6	2	2	2	1	2	1	2	2	1	5	1
30609	Current	4	4	1	3	3	1	2	2	2	4	3	4	1	5	5	6	3	4	2	1	3	3	4	2	1	5	1
30615	Current	2	3	1	3	3	2	2	2	2	4	3	3	4	3	4	4	2	3	2	2	2	2	2	2	1	5	2
30616	Current	2	3	1	3	2	1	2	2	3	4	3	1	4	5	3	5	2	3	3	1	4	3	3	2	1	6	2
30620	Current	1	3	1	3	3	3	3	3	3	1	2	1	4	1	4	6	2	4	3	2	3	2	3	2	1	3	1
30622	Current	2	4	2	1	3	1	3	2	2	4	3	2	4	5	5		1	2	2	1	1	1	2	2	3	5	1
30631	Current	2	3	2	1	1	1	3	3	1	4	3	2	4	5	5	6	2	1	3	2	4	3	1	2	1	5	2
30632	Current	2	4	1	1	1	1	3	2	3	4	2	2	4	2	5	5	2	3	2	2	4	2	2	2	1	4	2
30636	Current	3	3	2	3	3	1	2	2	2	4	4	1	4	2	3	6	2	3	2	1	3	2	3	2	3	5	2
30639	Current	2	3	1	3	3	1	3	3	3	4	2	2	4	5	5	4	3	4	2	2	2	3	4	2	1	5	1
30640	Current	3	3	1	3	3	3	3	3	3	4	3	3	3	2	5	6	2	4	2	1	2	2	2	2	1	5	1
30641	Current	3	4	2	3	3	1	3	3	3	4	3	3	4	5	5	6	2	3	2	2	4	2	3	2	1	5	1
30648	Current	3	4	2	3	3	1	2	2	3	4	3	3	4	4	4	6	1	2	2	2	2	1	2	2	1	3	1
30649	Current	2		1	1	1	2	2	2	3	2	4	4	3	5	2	3	2	2	2	2	2	1	1	1	2	3	1
30650	Current	4	3	1	3	3	1	3	3	3	4	3	1	4	3	3	6	1	3	2	1	3		2	2	1	3	1
30651	Current	2	3	1	1	2	1	2	2	3	3	3	3	3	5	5	6	2	3	2	2	4	2	4	2	1	3	1
30655	Current	1	2	1	2	2	2	1	2	3	4	3	1	4	1	3	4	2	3	3	2	3	2	3	2	1	5	2
30660	Current	3	3	1	3	3	3	3	3	3	4	3	1	4	1	1	6	3	4	3	1	3	2	4	2	1	5	2
30661	Current	3	4	1	3	3	3	3	3	2	4	3	1	4	1	3	6	3	4	3	2	4	3	4	2	1	5	2
30675	Current	3	3	1	1	2	2	2	2	3	4	2	2	4	3	2	3	3	2	2	2	4	2	2	1	2	4	1
30684	Current	2	4	1	1	1	1	3	2	3	3	3	2	1	1	5	6	3	4	2	1	3	1	2	2	1	3	1
30686	Current	2	3	1	3	3	1	2	2	2	1	2	3	4	5	3	6	3	3	3	2	3	3	3	2	2	4	1
30687	Current	2	4	1	3	3	3	3	3	3	4	3	2	4	5	2	5	3	3	2	2	4	3	3	2	1	4	1
30689	Current	4	3	1	3	2	1	3	3	2	4	3	3	4	1	3	6	3	1	2	2	3		2	1	1	3	1
30690	Current	1	3	1	3	3	3	2	2	1	4	2	3	4	2	2	3	2	3	3	2	2	2	3	2	1	4	1
30701	Current	3	3	2	1	1	3			1	4	3	2	4	3	5	6	3	4	2	2	4	3	4	2	1	3	2
30708	Current	4	4	2	3	3	1	3	2	3	4	2	2	4	3	5	6	3	4	3	1	3	3	3	2	3	4	1
30709	Current	2	4	1	3	3	1	3	3	1	4	3	3	4	5	5			3	2	2	3	2	2	2	1	5	1
30713	Current	1	3	1	3	1	1	2	2	2	4	3	2	4	1	4	5	3	3	2	2	1	2	3	2	1	5	2
30714	Current	4	3	1	3	3	3	3	3	2	4	3	3	4	5	1	6	3	3	3	2	3	3	4	2	1	5	2
30719	Current	3	4	1	3	3	3	2	2	3	4	2	2	3	1	4	6	3	3	3	2	4	3	4	2	3	4	1
30720	Current	1	3	1	3	3	1	3	3	3	3	2	2	4	1	5	6	3	4	3	2	4	3	3	2	1	4	1
30721	Current	4	3	1	1	1	1	3	3	3	4	4	3	4	5	5	6	1	3	3	2	3	3	4	2	1	4	1
30723	Current	2	4	1	3	3	3	3	3	3	4	4	3	3	5	5	3	2	3	4	2	4	3	2	2	3	5	1
30728	Current	3	3	1	1	3	1	2	2	1	4	3	2	3	1	4	3	2	3	3	2	3	2	3	2	1	4	2
30729	Current	1	4	1	3	3	3	3	2	2	3	3	2	3	4	5	6	2	4	2	2	1	2	3	2	1	4	2
30730	Current	2	2	1	3	3	1	1	2	2	3	3	1	4	2	3	6			3	2	4	3	3	2	3	6	2
30731	Current	1	3	1	3	3	3	3	3	2	3	2	3	4	2	3	6	3	3	3	2	4	3	4	2	1	2	2
30732	Current	1	4		3	2		2	2	3	4	3	1	3	1	4	6	2	3		2	4	3	1	2	1	4	2
30733	Current	4	4	2	1	3	1	3	2	2	4	3	2	1	5	5	3	3	4	3	2	4	3	4	2	1	4	2
30743	Current	3	3	1	3	3	3	2	3	3	4	2	2	4	1	5	6	1	3	2	1	4	1	3	1	1	3	1
30747	Current	2	4	1	3	3	3	3	3	3	3	4	2	3	5	5	6	2	3	3	1	3	3	3	2	1	5	1
30748	Current	2	3	1	1	1	1	3	3	2	3	3	3	3	4	1	6	2	3	2	1	2	2	2	2	2	5	1
30749	Current	2	3	1	1	1	1	3	3	3	3	3	3	3	5	4	6	2	3	2	2	2	3	3	2	3	5	1
30750	Current	1	4	1	1	3	1	2	2	1	4	2	2	4	1	5	3	3	3	3	1	4	3	3	1	2	5	1
30754	Current	2	4	1	3	3	3	3	3	3	3	4	2	3	5	5	6	2	3	3	1	3	3	3	2	1	5	2
30756	Current	4	3	1	3	3	3	2	2	2	4	3	3	4	2	1	4	3	4	4	1	4	2	4	2	1	5	2
30757	Current	3	4	1	3	3	3	3	3	2	4	3	1	4	3	5	3	3	3	2	1	3	2	3	1	3	5	2
30765	Current	1	4	1	3	3	3	3	2	2	4	3	3	3	1	5	6	3	3	2	1	3	2	2	2	3	5	2
30766	Current	2	2	1	3	3	1	3	3	3	3	2	2	3	1	3	3	1	3	3	2	3	2	2	2	3	5	2
30773	Current	4	4	2	1	2	1	1	1	3	3	3	2	2	5	5	6	3	4	3	2	4	3	4	2	2	4	1
30774	Current	2	4	1	3	3	1	1	1	3	1	4	1	4	4	5	6	3	3	3	2	4	1	2	1	1	5	1
30778	Current	4	3	1	1	1	2	3	3	2	4	3	2	4	3	5	4	3	3	2	2	2	2	2	2	3	6	1
30781	Current	4	4	2	1	1	1	3	3	3	4	4	2	1	4	5	6	2	3	3	2	3	2	3	1	1	4	2
30782	Current	1	4	2	3	3	1	2	2	3	4	2	3	4	1	3	6	3	3	2	2	2	1	3	2	1	4	2
30794	Current	4	4	1	3	3	1	3	3	3	3	2	3	3	5	4	6	2	4	2	2	3	1	3	2	1	3	1
30798	Current	1	3	1	3	3	3	3	3	3	4	3	2	4	1	4	6	3	3	2	2	3	3	4	2	1	5	2
30799	Current	1	4	2	3	3	1	3	2	3	4	2	1	4	1	3	6	2	4	2	2	4	2	4	2	1	5	2
30800	Current	1	4	1	1	3	1	3	2	3	4	4	1	4	1	4	6	1	2	3	1	3	2	3	2	1	5	2
30801	Current	1	4	1	3	3	1	3	2	3	4	4	1	3	1	4	6	1	3	3	2	4	2	2	2	3	5	2
30815	Current	1	3	2	3	3	3	1	2	2	4	3	1	4	1	4	5	3	4	3	2	4	2	3	2	3	5	2
30816	Current	4	4	2	1	2	3	3	2	3	4	3	2	2	2	5	3	2	2	3	2	3	2	2	2	1	5	2
30817	Current	2	4	2	1	1	1	3	3	2	3	4	2	3	5	5	6	1	3	3	2	3	2	3	2	3	5	2
30818	Current	2	3	1	1	3	1	2	2	3	4	4	2	4	5	5	6	2	1	3	2	4	2	1	2	3	5	2
30819	Current	2	3	1	3	3	3	3	3	2	4	3	2	4	5	2	5	1	3	3	2	4	2	2	2	1	6	2
30821	Current	1	3	1	2	2	3	2	2	2	4	3	2	3	1	4			2	2	2	3	2	3	2	3	4	2
30822	Current	2	3	1	3	3	3	3	2	3	4	3	1	4	5	4	3	1	3	2	2	2	2	3	2	3	5	2
30824	Current	1	3	1	3	3	3	3	3	2	4	3	3	2	1	3	6	2	3	3	2	4		2	1	1	5	2
30825	Current	1	2	1	3	3	3	3	2	1	4	3	2	4	1	3	6	2	3	2	2	3	3	4	2	1	5	2
30826	Current	2	4	1	3	3	1	3	3	3	3	2	3	3	2	3	6	3	4	3	2	3	2	3	2	1	5	2
30827	Current	1	4	1	3	3	1	3	3	3	3	2	3	3	1	2	6	3	4	2	2	3	2	3	2	1	4	2
30828	Current	1	3	1	3	3	3	3	3	3	4	3	3	4	1	5	3	1	3	2	1	2	1	3	2	1	5	2
30829	Current	3	4	2	3	3	1	2	2	2	1	3	2	2	1	2	6	2	3	2	2	4	2	3	2	2	5	2
30830	Current	3	4	1	3	3	3	3	1	2	4	3	1	4	5	5	6	2	3	2	1	3	2	3	2	1	5	2
30847	Current	1	4	1	1	3	1	2	1	3	3	3	3	3	1	3	6	2	4	2	2	4	3	1	2	1	5	1
30848	Current	1	3	1	3	3	1	3	3	3	4	3	1	4	1	4	6	2	4	2	2	2	2	3	2	3	5	1
30849	Current	1	4	1	3	3	1	3	3	3	3	3	4	3	1	4	6	2	3	2	1	3	2	4	2	1	5	1
30852	Current	3	4	1	2	2	1	3	2	3	1	3	3	3	2	5	6	1	3	2	1	3	2	3	2	2	5	1
30853	Current	3	4	1	3	2	1	1	2	3	1	3	4	4	1	5	6	3	4	2	1	1	3	3	2	2	5	1
30854	Current		4	1	3	3	1	3	3	2	1	4	4	1	1	5	5	3	4	2	1	2	2	3	1	3	5	1
30855	Current	3	4	2	3	3	1	1	1	3	4	4		4	2	5	6	3	4	3	2	4	3	4	2	2	5	1
30878	Current	2	3	1	3	3	1	3	3	2	4	2	3	3	4	1	6	2	3	3	1	4	2	3	2	2	4	1
30880	Current	1	3	1	3	3	1	3	3	3	4	2	3	3	1	5	3	2	4	3	2	4	2	4	2	1	4	1
30882	Current	1	3	1	1	1	2	2	2	1	1	2	3	4	1	3	3	3	2	4	2	4	3	3	2	3	5	1
30886	Current	2	4	2	3	2	1	3	3	3	3		2	1	4	4	3	3	3	2		4	2	1	1	2	4	2
30888	Current	2	2	1	2	3	1	3	2	1	4	3	1	1	5	5	3	1	3	2	2	2	1	3	1	1	5	2
30899	Current	3	3	1	3	3	1	2	2	2	4	2	3	4	5	5	3	1	3	3	2	2	3	3	2	3	5	2
30900	Current	2	4	1	3	2	3	2	2	1	4	3	1	4	5	3	6	1	3	3	1	3	1	3	2	2	5	2
30901	Current	3	3	1	3	3	1	2	2	2	4	2	2	4	1	3	6	2	4	3	2	4	2	4	2	1	5	2
30912	Current	1	3	2	3	3	1	3	3	2	3	3	2	4	1	5	2	3	4	3	2	2	3	3	2	1	3	2
30913	Current	2	4	1	1	2	3	2	2	3	4	2	1	3	5	5	6	3	2	2	2	3	2	3	2	1	3	2
30914	Current	1	4	2	1	1	2	2	3	2	4	4	1	4	1	1	2	2	3	2	2	4	3	4	2	1	1	2
30920	Current	1	3	1	3	3	1	2	2	3	4	3	2	3	1	1	6	3	4	3	2	3	3	4	2	1	5	1
30921	Current	3	3	1	3	3	2	3	3	1	4	3	3	4	2	3	3	2	3	2	1	3	2	3	2	1	4	1
30922	Current	4	4	2	3	3	2	3	2	3	4	3	1	4	3	1	6	3	4	3	2	2	2	3	2	2	4	1
30924	Current	1	4	1	1	1	1	2	3	3	3	3	1	3	4	2	3	3	4	4	2	4	3	4	2	1	4	1
30925	Current	3	3	1	3	3	3	3	3	2	4	3	1	4	5	1		3	4	3	2	4	3	4	2	1	4	2
30926	Current	4	3	1	3	3	3	2	2	2	4	2	2	4	5	5	3	2	3	2	2	3	3	3	2	1	4	2
30927	Current	2	4	1	3	3	3	3	3	2	4	3	1	1	2	3	6	3	4	3	2	4	3	4	2	3	4	2
30936	Current	4	4	1	3	2	1	2	2	3	4	3	3	3	1	1	6	2	1	3	1	4	3	1	1	3	5	1
30938	Current	2	3	1	3	3	3	2	2	2	4	3	2	4	5	5	3	3	3	2	2	4	2	3	2	1	6	2
30939	Current	2	3	1	3	3	3	3	2	3	4	3	3	3	3	5	6	2	4	3	2	3	3	3	2	1	5	2
30944	Current	1	4	2	3	3	1	3	3	3	4	2	1	4	1	5	6	1	3	3	2	3	3	3	2	2	5	2
30945	Current	3	3	1	1	1	3	3	3	3	3	3	1	4	1	3	5	2	3	2	2	2	3	4	2	1	4	2
30946	Current	1	4	1	3	3	1	3	3	3	4	2	1	4	1		3		4	3	2	1	3	4	2	1	5	2
30948	Current	1	3	1	1	1	1	1	1	2	4	3	3	4	1	4	6	1	3	2	2	3	2	2	2	1	5	2
30949	Current	1	4	1	3	3	1	3	3	2	4	3	2	3	1	5	6	1	2	2	2	3	2	3	2	1	5	2
30950	Current	1	4	1	3	3	1	3	3	2	4	3	2	3	1	5	6	1	2	2	1	3	2	3	2	1	5	2
30977	Current	1	4	1	3	3	1	3	3	2	4	3	2	4	1	4	6	1	3	2	1	3	2	3	2	1	5	1
30981	Current	2	3		1	2	2	3	3	3	4	3	2	3	5	4	3		3		1	2	1	2	1	1	1	1
30988	Current	1	4	1	3	2	1	3	2	2	4	3	3	4	1	5	6	3	3	2	2	4	2	3	2	3	4	2
30989	Current	2	4	2	1	3	1	1	2	2	3	3	2	3	5	5	6	3	3		2	3	3	4	2	1	4	2
30990	Current	4	3	1	1	1	1	1	2	3	4	3	3	3	5	5	4	1	2		1	2	3	2	1	1	4	2
30992	Current	3	4	1	1	2	1	2	2	2	4	3	3	4	1	4	6	1	2	2	2	2	3	4	2	1	4	2
30994	Current	3	3	1	3	3	2	3	2	3	4	2	2	3	2	5	4	2	3	2	2	2	2	3	2	1	6	1
30996	Current	3	4	1	1	3	1	1	2	3	4	3	3	2	2	3	6	2	3	3	2	2	1	3	2	1	3	1
